歌名,歌手,Video ID,語言
崖,王允宸,-,華語
镜中人:Mirror to me,Capper/周震南,8wNJQxVjFEI,華語
Full Signal满格信号,万妮达Vinida Weng,-,華語
水为媒,礼越,6fiETnMALLk,華語
清风微微,曾舜晞,HCv4EH5plpA,華語
后来没有后来 (有些人爱或不爱都会分开),郑鱼/顾叮当,-,華語
一直下雨的星期天,很美味,j6uyEn8OgME,華語
偿还,阿梨粤,tY23bR81IuY,華語
After the Fever,Richz,4RqKoPRlCpk,西洋
但愿被一人坚定不移,еяхат музыка/LongTran Final/蓝冰的蓝,-,華語
点歌的人2026,海来阿木,-,華語
无名之辈,陈雪燃,esYjbyBm8zw,華語
明天过后,张杰,ZA0uGRffojo,華語
老街,李荣浩,XadF4AbmHeA,華語
后来的我们,五月天,pd3eV-SG23E,華語
感谢你曾来过,Ayo97/周思涵,hVlmlDwhpWY,華語
失控,井迪,0swKZBxTNEQ,華語
哪里都是你,队长,R46qc7jopF4,華語
到时说爱我,茜拉 (Shila Amzah),4C8E7KA7kxE,華語
遗失的心跳,萧亚轩,NZxc2mUOOqE,華語
你不知道的事,王力宏,zvUsOXNPVxo,華語
锈,黄霄雲/TF_ING张子墨,PCbm4Vt6Dh4,華語
The Gentlemen (绅士们),弹壳/Vinz-T,fUxHPVv5dmw,華語
一点一滴,张信哲/黄子弘凡,4DGi4BD5ccc,華語
别怕我伤心,张远,CenC5jcnvjs,華語
誓言,窦靖童,f1g4SEI6akc,華語
二十二,宋亚轩,ZTR3tg6GirY,華語
第三人称,杨丞琳/王栎鑫,RJaoLKOzn0o,華語
trust me,姚晓棠/Top Barry,aE9h04yMqBw,華語
开始懂了,陈小春,p20EtodL7Ug,華語
如果你也这样过,尤长靖,EEQR8pYtUkQ,華語
野草,金志文,Fa2ZJ7u4Zrk,華語
苹果香,乌兰图雅/白小白,RlLsRgd9Hu8,華語
了了,翁杰_Winjay/加木,vxqsvgq2ySQ,華語
酒鬼的歌,李宇春,wwdm5AHp0Nw,華語
唤醒我,万妮达Vinida Weng,N_AgrXXy244,華語
言不由衷,容祖儿,yWTHUB49X1A,華語
哪凉快哪去,刘凤瑶/张玮/曾一鸣/李琦/派克特/蒋一帆,324tP6l2r4U,華語
敬昨天敬今天敬明天,李大奔BENZO/SHarK,_ivYo5vxOAQ,華語
电子布洛芬,AThree/那奇沃夫,6C1hjh8zXTk,華語
白自在,胡彦斌,WKw9rbKMjCc,華語
半点心,王铮亮/灼海豚乐队,UAqa0DG7csU,華語
暗涌,萨顶顶,CA10OyyU2nA,華語
马桑树下,RANZER叶润泽/早安,1p4ZGPzpbPI,華語
签名笔,Rapeter,uZZojQhMapw,華語
Surprise (惊喜),早安,U3i8jJNLuT0,華語
奢求,淑元/奥利,tMk9RRRbKP4,華語
游游,房东的猫,viama9Sdh78,華語
一诺,刘宇宁,JGGL56GMMsM,華語
同归,曾舜晞,aQeZ2kpI7J8,華語
落下的光,袁娅维TIA RAY,tqgSk5PMXwA,華語
Be My Light,段奥娟,Et-oDExde-E,西洋
黑童话,黄龄,a24jmkT9vnE,華語
放晴,胡夏,810vYNE8okU,華語
奉陪,陈伟霆,ljJt5MUWYyo,華語
繁花流年,希林娜依高,BLW69Na62E0,華語
Paper Flower,李遐怡,tGyEwvglfxk,韓語
Work,Ava Max/PAW Patrol,cJRw7rYOOzA,西洋
破阵子,李常超（Lao乾妈）,iJBIcUo22q4,華語
好き,星野源,nRGMA6n17p0,日語
Kiss of the Spider-Man,Michael Giacchino,o1nnLS_L88I,西洋
I Miss You Every Brand New Day,For Revenge,8_y6w1V9PXs,西洋
偷黄昏的人,莫非定律乐团,ORY0PmRHxD4,華語
不负,迟木,1c5Vjseuhm0,華語
好想好想,代旭/井胧,Nd3MdEgENt4,華語
痕迹,何浩楠,bTn_p14as-U,華語
最完美的存在,刘芯妤Roselyn,-4a45QUT-J0,華語
你爱我像谁,橘子妹,-,華語
其实雨也没多大,弹棉花的小花,aBdb7ifAAuo,華語
街道（天黑不睡觉 天亮还在熬）,Ravixen,-,華語
爱久见人心,赵乃吉,1TJ4DXlfcTc,華語
云中鸟,小阿七,xBOmrRTzi9M,華語
Nada Sempero,Tamboss,-,其它
愿我,加木措,fS16k7Av_Xg,華語
后来遇见他·2026,七元,QK6qHEKiE_0,華語
叹流年忆往昔,QAQA,-,華語
西厢寻他,刘宇,bEYpckbqqhs,華語
在深秋,白允y,-,華語
倘若你爱一人,王唯旖,lwnHvx5HsYo,華語
这世界很美的吧·2026,Zyboy忠宇/余火火,-,華語
Te Olvido (La La),benny blanco/Selena Gomez/Becky G,XGKJxb2b3ZI,西洋
失落天涯,洛先生,oKKSUhW0weM,華語
荒海,毒药/丁宇祥,-,華語
爱情两个字,正在进行石女士,B3Gdbmysg54,華語
UP IT,刘耀文,CJBs2T4YbKk,華語
Serenade (KARINA & WINTER),aespa,hGqYdubpcCM,韓語
月像,刘宇,U3vtRkUX6OY,華語
Lollipop (GISELLE & NINGNING),aespa,isqsKaUoMFA,韓語
中国人会飞,Chalky Wong/揽佬SKAI ISYOURGOD,wlF0Rhj5ntY,華語
我和你的影子拥抱,徐靖雯,-,華語
消失的恋人,江堇,B8KCH3i43LE,華語
第57次取消发送,羊羊,yyMuPEZ0-eQ,華語
桥边姑娘,轻烟大叔,-,華語
ICONIC HEART,Hearts2Hearts,chl0R8C4NJ8,西洋
尚能独舞,侧田,owhc05vrXeU,華語
我不该动情,万能和弦,WExjsi0B2xs,華語
只是太爱你,正在进行石女士,-,華語
爱旧爱（怪我曾爱你爱的太深）,恩几,r01wQDvnNng,華語
爱你到100岁,逵逵爱唱歌（KuiKui）,aAPQVc81Ezg,華語
后来没有后来 (有些人爱或不爱都会分开),承桓/顾叮当,-,華語
吹吹山顶的风,杨小壮,relM8XBrdpM,華語
原谅,橘子妹,7zyDhQLypF0,華語
练习,打扰一下EXCUSE ME,7-gMQPuq690,華語
贰拾肆,梓渝,zeGLBhDbwt0,華語
我们总是喜欢在夏天讨论永远,时代少年团,AH2ibOsKgzs,華語
Pop Off Pop Off,KiiiKiii,UsbRoaH6y-Q,西洋
远距离,梁咏琪,jMEbbGsPkIo,華語
Ever2Late!,KiiiKiii,vP6NceIuVkM,西洋
SWEET SOUR,KiiiKiii,NBIu5QpD3X8,西洋
攀峰,崔十八/麦麦/贰万ovo/木木墩/鲸/听潮阁,1Ey7tTXfyn4,華語
Hey Hi,KiiiKiii,TUU00zw6cgM,西洋
Candy Pink Magic Hole Flip Phone (나 어떡해),KiiiKiii,R9miRFaYbWo,韓語
夏天如约而来 (Summer Sparkle),银河快递 (Galaxy Express),G0fkTpaWv28,華語
Blue Hour,KiiiKiii,t5EsOq3E6bI,西洋
海海海,白允y,-61JbF4FJgM,華語
执迷不悟,Joysaaaa,c6t69I6_Z7Y,華語
oh yeah?,Steve Lacy,2zPGWGqdfJ8,西洋
Head In You,La Mer/DJariium,-,西洋
我不该动情,洋澜一,dHH5jAkuNug,華語
Little Songs(无人知晓的小歌),七元,zxwR7ZG4bH4,華語
下一天,王俊凯,dFoYvWoVtOQ,華語
傻鱼,王栎鑫,H2KEtWOqVJA,華語
山风替我去自由（我也想潇洒活一回）,王一佳,GQW9Vyr74rU,華語
候补,马师傅,fuAdFT28560,華語
山风山风等等我,鱼精,_03_7Vi9xOQ,華語
Broken Trust,卓沅,XdpswnFz0l8,西洋
自由的夜,薛凯琪,fcFc2yjBAVw,華語
不想失去你,毛不易,hgY4ftt3gvk,華語
第57次取消发送,晚月moon,-,華語
淡出,袁一琦,tslXxmOL4mE,華語
夜喵子,Sus.,Kjf8CkCgVAI,華語
独库公路G217,生命树下,BxNFCMMAHnY,華語
漫山雪（你看呐山外又飘来满山雪）,小阿枫,ekbvEKjaO1c,華語
爸爸妈妈,乡野低频,J59-924vcoU,華語
其实我介意,励志豪/神勇尼尼,-,華語
慢慢发光(Just Glow),七元,ic2l3BeXwEc,華語
END+ing,MINNIE,Z411zFDb2Dk,韓語
去你的岛,金玟岐,6xgkCXq7os8,華語
モンストロ,Ado,4IKHox-DKrM,日語
All I Can Say Is,LOUIS of LNGSHOT,FgUtOcBJoVI,西洋
黄沙骨,费宇涛,u8iPXKbwOsc,華語
仙古星河,泠河,tCDDeS4Oamw,華語
山河荒,阿云嘎,QR3gtJhpgp0,華語
틀린그림찾기,Wonstein,8i4-lw32qcw,韓語
再珍重,黄景瑜,JKMwGrEBxjo,華語
弥散,逢安,xdsIqAitsUM,華語
正义的容颜,宗俊涛,7ZhzdmUb3PQ,華語
When I’m Home,James Blake/Travis Scott/Ludwig Göransson,zTdDQ7v_Lb8,西洋
粲然与你,张景昀/赵奂然,eekYm7kNm0w,華語
Happy Rain,10CM,Bri-jlRm2uo,韓語
No Mercy,DPR IAN,6kVMjQSnIzs,西洋
枫,周杰伦,qzwsQTY-99o,華語
爱出发,TFBOYS,K6M364hyES8,華語
差一步,大壮,lA7-x-TlGjM,華語
我好想你,苏打绿,P_pyfLArjQg,華語
空城,杨坤,mgmJ_0_DL38,華語
我好像在哪见过你,薛之谦,4krYbNuNdPo,華語
亲爱的你啊,任素汐,VnQWBaJJcq0,華語
花田错,王力宏,UvXQn9oIRAM,華語
西楼儿女,海来阿木,0KFihfYWAMQ,華語
十面埋伏,陈奕迅,7t2wtSSIF1I,華語
半点心,草蜢,F3oRObMMNx8,華語
一程山路,毛不易,0RzlgXAsJgs,華語
无名的人,毛不易,LgNT-a_ekC8,華語
一直很安静,阿桑,XQgXzPFZbzA,華語
等下完这场雨,杨友友/田园,-iv04Ej2qac,華語
慢慢,白允y,V8BAeRPfHGQ,華語
放手的人注定遗憾,赵乃吉,kR2zLsuLjcs,華語
见怪不怪,金志文,6KiKPq4xX4o,華語
神山GUOFENG,FOX胡天渝,tzU-MvVXpoA,華語
失忆,正在进行石女士,yJyDLVR2XrE,華語
座位,陆杰awr,ZsgKZbDCxZY,華語
为你我受冷风吹,羊羊,-,華語
一生能有多少个秋天,一叶儿知秋,7nb13wYSo0w,華語
Off-Ways,MIKS,-,西洋
检查手机,怪兽/善宇,T3eSueZcwN4,華語
擦干眼泪爱你,杨友友/烟嗓船长,NiOVOr1m46Q,華語
山风山风等等我,七喜,xPaUYFhp_3w,華語
从门缝遥看礼堂的新人,404Hz,-,華語
花田错,万妮达Vinida Weng/吴碧霞,Hnij47XWTeo,華語
我们的纪念,杨丞琳/侯明昊,qkKFbP0ZMLU,華語
答案,王铮亮/黄霄雲,htjPa9QhaY8,華語
交个朋友,弹壳,KdiYwBvQVnY,華語
再见,万妮达Vinida Weng,q-IowIzrMLY,華語
相思,齐豫/毛阿敏,ERUH2ClGmpg,華語
被驯服的象,窦靖童/欧阳娜娜,m1DRtCeQHAc,華語
无所求必满载而归,张远,ucurpb94Xc8,華語
娱乐天空,宋亚轩,vFvH7kQiFyA,華語
笼,吉克隽逸/黄子弘凡,aVpfFCgKdNw,華語
遗失的心跳,周笔畅/喻言,ZZudhk8lcC4,華語
欢喜就好,杨宗纬/岳云鹏,xFylv8r_KPI,華語
猜不透,赵磊/张予曦,xEJ9ZqMVUhg,華語
18,Top Barry,0_endrn_X6k,華語
走四方,胡彦斌/韩磊,-5eg6T-Fh04,華語
Somewhere Only We Know,Elliot James Reay/黄子弘凡,Dd6yqx23c5E,西洋
幸福在歌唱,希林娜依高,bO5L6B7sUZk,華語
小rapper,Rapeter,i4zgNC3IqZU,華語
春泥,金志文,w1yfCaZzOCc,華語
空中飞人,窦靖童,SfwS7M3gWvo,華語
平日快乐 + Rasa Sayang,尤长靖/龚琳娜,E4C10xM-4N8,華語
综艺说唱歌手,布瑞吉Bridge,sixjwB8gi8I,華語
壁上观,张远,Yaux7Dr7Nk0,華語
爱，我不要丢下我,锤娜丽莎,sYS6Ceyb_z0,華語
外婆的澎湖湾 + 光阴的故事,齐豫,-d3cgGrL8O4,華語
忘了你 忘了我,周蕙,FwTNSbNkRLM,華語
闭嘴跳舞,尤长靖,xczI-mUuM90,華語
Crossfire,张艺兴,3ZbdF6mRmHY,西洋
只要你在身边,沈梦瑶/喵战队,8BrDe0-FDVo,華語
Bleeding Love -氛围节奏,Grimmmz/Sixteen/DJYmix,-,西洋
杀破狼,萧泽,Dgq9BadXDhw,華語
「最好的地方Ⅱ」演唱会主题曲,王力宏,jZPYBo2_pv8,華語
静音恋人 (两颗缠绕的心),邹沛沛,-Hl1gke4U48,華語
我好想你 • 一 一,王菀之,ctWxU3u2JD8,華語
长眠,Suki刘舒妤,zoubrGQtRb0,華語
GIve Up (戴上耳机 感觉至上),404Hz/夜音馆,-,華語
舍不得又没资格,任夏,H9RlE-mKeDc,華語
你曾经答应过我的,音乐科代表洪嘉源,-,華語
电台情歌,轻烟大叔,-,華語
Soul Snes Alone,Vnriet/DarK Haye,-,西洋
这最后一次的分离（发了疯的想你）,橘子妹,FP-9V0-Sr7o,華語
画心,周深深,-,華語
Always Been You,VZEUS,-,西洋
黄昏,张妙格,H7_DwxQD_6Q,華語
绿皮火车,郑钧,6gJ9s1TswcY,華語
取愿,李星星,bLOYvcyVtyw,華語
摇曳！摇曳！,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,C5aQMjIwjAQ,華語
一直在身边,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,0RAqPS4JQyQ,華語
少年有种,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,jWSWPa4G8ts,華語
这城市那么空这回忆那么凶,安北辰,-,華語
山风山风等等我,吕口口,NCKRAlzlH7M,華語
Setsuna Hanabi,TOMORROW X TOGETHER,Z5pGz8fkaDQ,日語
一吻 (Poison Kiss),曾舜晞,p-0J0-skPXI,華語
如果还会遇见,何遇Hayu/Crybird,WfI5vDFWFlc,華語
落选,戴羽彤,T79CK-TvnRk,華語
人一個,陈小春,uWFsAAVCnuA,華語
有缘无份,文夫,-,華語
She’s the Best,Troye Sivan,mFA1P8ZzoLw,西洋
RUN IT,梓渝,ovZ4T3Hv7RQ,華語
无情的情书,半吨兄弟,Y8avy-ucFyw,華語
天之外,薛凯琪,w1pzJ7jJREg,華語
Bout You,Nicholas Witt,-,西洋
Silence,TOMORROW X TOGETHER,TqWNFVAEmwU,日語
爱到最后全凭良善,半吨兄弟,jdJuv3oYIHM,華語
唯一的例外,阿YueYue,QISWmlKxJiE,華語
想你的话我再没有说,戎大姨,I2d738HRBr4,華語
Boom Boom Boom,BOYNEXTDOOR,ntLoF0LnAwY,韓語
All Soul Peace,Vnriet/DarK Haye,-,西洋
Forever July,宣美,-,西洋
爱河（如果晚霞绕过火车）,正在进行石女士,-,華語
热账冷说,927,-,華語
秋叶飞过的天,卢润泽,vUql6Q6xWBs,華語
Can’t give up,La Mer/Ameriie/Andree Son,-,西洋
三万英尺,瑞-Gary/东木木,SD4dIYHTMFc,華語
我不该动情,吕口口,B4hRfZy2ZVg,華語
当爱在靠近,张茜（张惜淇）,-,華語
一生能有多少个秋天,刘书云,xm6LpbzFJEs,華語
命运好幽默让爱的人都沉默,周深深,-,華語
牡丹亭,浅影阿,QEIo7vlqSS8,華語
灯灭故人归,加木措,gax5rhLf3hE,華語
像我这样爱你的人,落日微醺本薰/张多金,uH5bsswy2sE,華語
等风来等花开,曲肖冰/凤璃,-,華語
晚风告白,黄星/邱鼎杰,UN9JDxv2rmU,華語
BiiiG,BIGBANG,L8ZnXgbyUuc,韓語
谎言,卓沅,gCCLu84CwMw,華語
禾和何,何浩楠,n2IJN5PmClc,華語
落,刘宇,suLx2it-Cl0,華語
想你了,TF_ING邓佳鑫,RtTqQY45XNk,華語
洞房,张云雷,W5fjQCOvuR0,華語
请在我坠落前到来,TF家族/TF家族-官俊臣/TF家族-王烁然/TF家族-杨涵博/TF家族-张奕然/TF家族-聂玮辰/TF家族-魏子宸/TF家族-李煜东,ggVO2Ydibus,華語
好巧是你,周深,QPcvwly2pVY,華語
晚风定义,李沛恩/江衡,0fr8VxtmJNY,華語
只为遇见你,刘宇,W2anyuTOIYM,華語
至少相拥没错,MC 张天赋,NhB88CcMGcM,華語
一路上有你,轻烟大叔,-,華語
Spleen Cow,Waifu Shop/Ameriie/He00c/Grimmmz,-,西洋
山风山风等等我,佳佳,iT588U-GsI0,華語
want more,郭郡BiSang_NX/FROYY-蛙,-,華語
We Never若如初见,La Mer/404Hz,-,華語
你知道我最害怕一个人天黑,张玮,-,華語
我在你身后,李飘飘,fRSVMk8yiFs,華語
愿与愁,林俊杰,MISqtaNt1vg,華語
勋章,鹿晗,OF5WnhcZnFU,華語
Come Back To Me,Utada,CKPA8L5ZpqU,西洋
最好的我,龚芝怡/房祖名,0zmmHNGHRds,華語
指纹,杜宣达,oAxs4Ou1N_M,華語
葡萄成熟时,陈奕迅,NCsVnmmNA3E,華語
爱的回归线,陈韵若/陈每文,SYZFnqPXLGI,華語
你瞒我瞒,陈柏宇,JWcuUHVD4Ng,華語
别怕变老,王以太/艾热AIR,97--ipTEtJs,華語
雨天,孙燕姿,n3-ZMNOeL6M,華語
红豆,王菲,5wmfXve11rM,華語
就是爱你,陶喆,EvIXazCYOls,華語
追光,周宣绮,XQcjAxGJH5Q,華語
拯救我,檀健次,yW_tdielcpc,華語
I'll Be Back,Vernon,WEGJE7tw0Go,西洋
旧记忆,黄子韬/刘宇宁,VvDUInqyDuQ,華語
人间藏欢喜,孙红雷/李乃文/郭京飞/刘宇宁/龚俊/陈星旭/王玉雯/林一,051Ypw1kCRQ,華語
如果累了就回故乡,酷酷里/面妹孔佳奇,TlIciP4_aMA,華語
Many Lonely Days - Sped,MIKS,-,西洋
没遇见该多好,海来阿木,F4OL-R9mzTw,華語
过去而已,半吨兄弟,vQzJvPDp3NY,華語
纤云一梦,RaeRae蕾蕾,TUuBNWgXBx4,華語
大小姐,苏醒AllenSu,qwBz6NDbK7Y,華語
情绪比较稳定,金志文,uYH0TFwQr5k,華語
别怕再见,房东的猫,nGRG5TrwvII,華語
灰,丁薇,d4BfVJg5xHs,華語
你听见了吗,康子奇,zjpiO8EhmB0,華語
最圆满,刘 洋,SQKa3457cc8,華語
入阵,戴荃,mwixk9rbhbY,華語
喜欢你,周深,hTYqbBnRyqs,華語
给我一个理由忘记,丁当/侯明昊,GAdH8VaNkk4,華語
一半一半,宋亚轩,q8NYT7blIAM,華語
梦哑,杨丞琳/黄子弘凡,dVg0j-feBo4,華語
天后,付辛博/姜潮,eS60B20HFP4,華語
没关系,周深,yD33NP5Zj_Y,華語
指纹,杨坤/高睿,2CihEcH9SfI,華語
空白格,黄晓明/刘雨昕,1kQeXfJQVkQ,華語
呼吸决定,姚晓棠/张星特,lHPWRpJPBQ8,華語
Chevrolet’78,王赫野,rSwDyGOPYuc,華語
中毒,王铮亮/光泽,2Ac9ccgBQR0,華語
周旋,艾热AIR,6WPWpadfJfI,華語
小美满,宋亚轩/AGA/黄子弘凡/姚晓棠/周深/吴莫愁/金志文/龚琳娜/陈小春,l1oSO3yebNw,華語
感官先生,张彬彬,UYkbSizd5f4,華語
信者得爱,黄子弘凡,NjyMrgpgasg,華語
孤雏,AGA,ZyORtO7kTaw,其他
直来直往,姚晓棠,y0ASJqPr3m0,華語
Club Music (俱乐部音乐),那奇沃夫,9m4zc4aQGlU,華語
奔向你,张睿,yRX2yEcc61k,華語
笼,阿云嘎,hUwV1sKmSPE,華語
不想睡的星期五,郭京飞/黄明昊（Justin）/李小冉/孙怡/唐艺昕/周翊然,fUpis30f-t4,華語
周旋,王以太,6WPWpadfJfI,華語
飞回乌鲁木齐,AThree,PN-hmI5CqEQ,華語
Rockstarr (Prod By THE HUB),YEONJUN,uM7J2UaWAZ4,西洋
等,余文乐,TUt3cVD-uic,華語
庙堂之外,胡彦斌,g8Ga9SBDi7M,華語
下个，路口，见,李宇春,0CH3FeTGjL4,華語
百分之一,辉子,UIbCpm_kdKo,華語
Take Me To Your Heart,米卡,JILUlcWpgIk,西洋
等,小阿七,Vat4iaFv1os,華語
不退！,马嘉祺,0DcbbJEuLr4,華語
路过晴朗,汪苏泷,2TUe-RESXeE,華語
SPARK TO FIRE 星火成焰,TOP登陆少年组合,Z6v3Qbn2luk,華語
Bloody Paradise,ENHYPEN,MT-4Bk1Lw8g,韓語
同天空,周柏豪/孙玥琪,-,華語
莫忙,乡野低频,xgQMemPpnmI,華語
Slowed,Grimmmz/404Hz/叫姐/Pao7oO,-,西洋
我会好好的,烟嗓船长,-,華語
Bad For You,ENHYPEN,M56NU6q4PeM,韓語
Two Fools,ENHYPEN,IRzjTyvWK4E,西洋
一个人挺好,烟嗓船长,XiW-7__LnTE,華語
只是太爱你（原谅我真的喝醉了）,橘子妹,oo3HIuIaLrw,華語
Stuck,ENHYPEN,h5WGY-Fszrw,韓語
红尘好戏,风华音纪/叶里,SJUDmK1QsXg,華語
神女令,Accco小爱,ACAQgjcUB9M,華語
希望自己一直拥有幸福,La Mer/404Hz,-,華語
Shining,NAVE/赵粤,-,華語
Highlight,ENHYPEN,NBBjCV2-AMw,韓語
Checkmate,ENHYPEN,7wOPVXn_XAE,韓語
NO Gravity,鹭卓,wHDn-iZ18Fw,西洋
LAVA,单依纯,PZzQdV0j_F4,西洋
故香,张艺兴,EDpcOGXmZ_A,華語
盛夏,王抱朴,-,華語
尘外客,鸣潮先约电台/蔡明希-不才/宫阁,D_HZr14hKXY,華語
大约在冬季,赵乃吉,OcE3Vqu90HM,華語
红颜旧,晚月moon,-,華語
Every Time We Touth,Waifu Shop/Pao7oO/Ameriie,-,西洋
我把思念说给风,戎大姨,AfHLALXRBHo,華語
山风不语,正在进行石女士,rLIFDSRzO5M,華語
眸cc,徐靖雯/海绵先生,-,華語
孤独的葡萄酒,卢润泽,07dcSqTvqC8,華語
知了,陈默之,thsEf4yOxv0,華語
祈神怜,一颗狼星,e8cQnoIUSX4,華語
梨花雨,黄龄/旷骏祥,w9hB7Qc1Ets,華語
MONEYMONEYMONEY,CORTIS,OhdvNHmJDsw,西洋
PACK IT UP,CORTIS,Eg4-vCHc7eQ,西洋
不问,黄霄雲,TclXQLrYHEQ,華語
4AM,王子浩LEV,iANghGKPteA,西洋
你想我吗,柯宇（孙泽耀）,-,華語
你不该权衡利弊,李婷雪,7IlEG5xPHrQ,華語
一杯酒敬往事不回头,南风,-,華語
Slowed,拖鞋pd/404Hz/叫姐/Pao7oO,-,華語
感我此言良久立,TF/404Hz/暗号Mobye,-,華語
废墟里开出花,袁小葳/蒜皮,-,華語
同进退2026,倪浩毅,SFQ8gZZ2Zjo,華語
Love Me Anymore -氛围节奏,拖鞋pd/Andree Son/LongTran Final,-,西洋
Hope to Remain,严浩翔,R1FhekboG9I,西洋
没有你是漫长雨季,梓渝,upblmi2XwGs,華語
时间漫步,梓渝,8iqJ7dGVW50,華語
此间是少年,梓渝,0_ld2Btgweo,華語
闯,梓渝,LmBWpdMxWgU,華語
致亲爱的自己,梓渝,-sgLTL_8Wwg,華語
渝人码头,梓渝,QH7D9S0XhZs,華語
不回头的人,梓渝,hG6H-Gi4lNU,華語
永不放弃,白小白,qUQ0E39ms3Y,華語
请勿打扰,喻言,B7DKa-nJxxo,華語
白日慢游,李昀锐,KgV_bnmLSoo,華語
等等我,VKNOW感觉团,-,華語
森林狂想曲,黛青塔娜,P8GXIbRl-Qw,華語
从这里闪耀,肖战,h2Sku9uT87Y,華語
SUN KISS,TUIDE,46h0LvDHgIs,西洋
左边,杜宣达,SdG5aNpVsvU,華語
童话,赵十三,-,華語
GRLS,TUIDE,pHciG9_2xXM,西洋
顺其自然,国产阿发,2fGDe6QVypA,華語
临界点,郭静,Am7GYnkgoy0,華語
风若是拦不住 那就背风漫步,李翠华,-,華語
别说我的眼泪你无所谓,周深深,-,華語
回到小村落,吕口口,Pvk0Iq7soAg,華語
雨在同一片云落下,李昀锐,-,華語
螺旋 - RASEN - Acoustic Ver. -,9Lana,aD9R2R8Fix4,日語
After Summer - up,MIKS,-,西洋
时光你等等我,郭芊彤,WA65QQQzzE4,華語
Echo,TUIDE,vdIYAimoLVs,西洋
昨天，今天,莫文蔚,Z92SE7ZSTRg,華語
她,刘宇宁,7Buj2xUlZo0,華語
仿佛又在那天醒来,黄星,8uqJNE9GUPg,華語
远走高飞,金志文,TSeruwcAqgM,華語
You Can't Give Up,TF/我期待的不是你/Pao7oO,-,西洋
爱意藏风里,弄简,AwGrTL8eeiQ,華語
倔小孩,格林Colin,s_uDvLVi26U,華語
以朋友的身份,王铮亮,78WegVVWBDU,華語
余生不再为谁心动,田妤,KxlXpFQOqfI,華語
烟火,赵乃吉,eF_8o-NUYdQ,華語
唯有追赶风的方向 (Only By Chasing the Wind),知更鸟/HOYO-MiX/Chevy,mFaxZdS6nYo,西洋
莎啦啦,孙颖莎/JKZQ,-,華語
猜不透,张予曦,xEJ9ZqMVUhg,華語
傻女,王栎鑫,8eZl7NVFxlo,華語
不眠夏,林辰涵,zTyoNVgIWl8,華語
山风山风等等我,李晓杰,vNJGaooWa0s,華語
不挽留没回头,烟嗓船长,-,華語
就当你是个过客,任夏,luqW8Ui7ttE,華語
一片蓝,何与,FOxbxUvbDzY,華語
盘旋,笑微,-,華語
认错,橘子妹,-,華語
呆头鸟,礼越,I5u4kx4EoqM,華語
云牵,叶炫清,OPQm1f-kEYM,華語
天地歌,李常超（Lao乾妈）/央吉玛,WXKCA7s0Z40,華語
此刻,袁娅维TIA RAY,pPWj5zpyeG8,華語
食物顶端,郑云龙,lTK6wggP-3U,華語
Good night (晚安),张本煜,3HVx6z6aBjg,華語
独藏心事,辰燦Orion/天天DayDay,8L5xmkCTq48,華語
以伤为名,于贞,A0RE2-Miz5M,華語
不羁不羁,武艺,24dpywtxGpI,華語
幻想家,张郁梓,Vjc0ukCJLBM,華語
甲乙丙丁 (你我怎么两清),张碧晨/侯明昊,7H1ObJvb7Hc,華語
哀人i,余文乐/艾热AIR/王以太,axxMKKc5GJM,華語
循迹,王铮亮/李佳薇,tQfQ5RONDno,華語
颜如玉2.0,李大奔BENZO/严浩翔/Rapeter,caC5IgU0JLY,華語
樱花草,黄子弘凡/姚晓棠,Gms1sdNwoC0,華語
红线,杨丞琳/刘宇,qdfb2yIPI0Y,華語
My job (老本行),ICE杨长青/那奇沃夫/张峻豪SHUN,adoArsLQNuw,華語
bad guy,黄霄雲/周震南,NLGRPVvMwm4,西洋
问月·谣,黄子弘凡/辉子/AThree,93DDWe82hPs,華語
走马,阿云嘎/米卡/颜安,B5trO9i01r4,華語
为爱痴狂,杨坤/庄心妍,Whotv9KP0B8,華語
我是真的爱上你,欢子/谢可寅,RdCbBhuUUYE,華語
爱的主打歌,小沈阳/姚琛/曾辉,yow8ndLV32k,華語
爱，很简单,孙楠/刘畊宏/王赫野,OsGFt6Yz1SI,華語
回声,那英,YDYXBWgvIyU,華語
兰亭序,周杰伦,s5Xl5MXboas,華語
天龙八部之宿敌,许嵩,M2ilhSW3aoQ,華語
从前说,小阿七,hEMRM6J7LlY,華語
广东爱情故事,广东雨神,enkDpwX9Ryc,華語
只对你有感觉,飞轮海/田馥甄,f9Y7Aulvb0k,華語
盗墓笔记·十年人间,李常超（Lao乾妈）,RZ7-YyBLphs,華語
여름의 속도,WINTER,YTeFLKMnwjg,韓語
SAUCIN′,NEXZ,6T6xielI6NI,西洋
不是我不小心,半吨兄弟,-,華語
情网,半吨兄弟,7BtnY-VDMD0,華語
曲终人散,付豪,sgguH7hxQNI,華語
POLSKA JUMPSTYLE 重音,Vnriet/Nvraenr,-,其它
